Well,Fluor,Sample,Cq,SQ,Target
A01,FAM,STD_10000,26.60013761,10000,SVC
A02,FAM,STD_10000,26.52759757,10000,SVC
A03,FAM,STD_10000,26.50400807,10000,SVC
A04,FAM,STD_10000,26.46784122,10000,SVC
A05,FAM,STD_10000,26.49400276,10000,SVC
A06,FAM,STD_10000,26.46025014,10000,SVC
A07,FAM,STD_10000,26.42061904,10000,SVC
A08,FAM,STD_10000,26.47887557,10000,SVC
A09,FAM,STD_10000,26.58588613,10000,SVC
A10,FAM,STD_10000,26.52558741,10000,SVC
A11,FAM,STD_10000,26.66557,10000,SVC
A12,FAM,STD_10000,26.60967759,10000,SVC
B01,FAM,STD_10000,26.69199581,10000,SVC
B02,FAM,STD_10000,26.53122433,10000,SVC
B03,FAM,STD_10000,26.43714867,10000,SVC
B04,FAM,STD_10000,26.41648548,10000,SVC
B05,FAM,STD_10000,26.33209816,10000,SVC
B06,FAM,STD_10000,26.37098356,10000,SVC
B07,FAM,STD_10000,26.37996054,10000,SVC
B08,FAM,STD_10000,26.43546904,10000,SVC
B09,FAM,STD_10000,26.39224294,10000,SVC
B10,FAM,STD_10000,26.45369698,10000,SVC
B11,FAM,STD_10000,26.57953726,10000,SVC
B12,FAM,STD_10000,26.58635022,10000,SVC
C01,FAM,STD_10000,26.57710483,10000,SVC
C02,FAM,STD_10000,26.47351585,10000,SVC
C03,FAM,STD_10000,26.39181881,10000,SVC
C04,FAM,STD_10000,26.43418834,10000,SVC
C05,FAM,STD_10000,26.48878163,10000,SVC
C06,FAM,STD_10000,26.45489071,10000,SVC
C07,FAM,STD_10000,26.41908428,10000,SVC
C08,FAM,STD_10000,26.43094293,10000,SVC
C09,FAM,STD_10000,26.42577525,10000,SVC
C10,FAM,STD_10000,26.47709031,10000,SVC
C11,FAM,STD_10000,26.46275703,10000,SVC
C12,FAM,STD_10000,26.67580597,10000,SVC
D01,FAM,STD_10000,26.4531805,10000,SVC
D02,FAM,STD_10000,26.33041132,10000,SVC
D03,FAM,STD_10000,26.50790306,10000,SVC
D04,FAM,STD_10000,26.39909399,10000,SVC
D05,FAM,STD_10000,26.2024786,10000,SVC
D06,FAM,STD_10000,26.54062283,10000,SVC
D07,FAM,STD_10000,26.44241629,10000,SVC
D08,FAM,STD_10000,26.60793616,10000,SVC
D09,FAM,STD_10000,26.42323002,10000,SVC
D10,FAM,STD_10000,26.55558386,10000,SVC
D11,FAM,STD_10000,26.66541347,10000,SVC
D12,FAM,STD_10000,26.72001878,10000,SVC
E01,FAM,STD_10000,26.67907842,10000,SVC
E02,FAM,STD_10000,26.45415348,10000,SVC
E03,FAM,STD_10000,26.39799574,10000,SVC
E04,FAM,STD_10000,26.3912025,10000,SVC
E05,FAM,STD_10000,26.32611684,10000,SVC
E06,FAM,STD_10000,26.474164,10000,SVC
E07,FAM,STD_10000,26.41680508,10000,SVC
E08,FAM,STD_10000,26.39668693,10000,SVC
E09,FAM,STD_10000,26.52502458,10000,SVC
E10,FAM,STD_10000,26.49938557,10000,SVC
E11,FAM,STD_10000,26.48282097,10000,SVC
E12,FAM,STD_10000,26.67014514,10000,SVC
F01,FAM,STD_10000,26.59105907,10000,SVC
F02,FAM,STD_10000,26.54199062,10000,SVC
F03,FAM,STD_10000,26.33905962,10000,SVC
F04,FAM,STD_10000,26.41723152,10000,SVC
F05,FAM,STD_10000,26.37321563,10000,SVC
F06,FAM,STD_10000,26.3994964,10000,SVC
F07,FAM,STD_10000,26.44098056,10000,SVC
F08,FAM,STD_10000,26.48770441,10000,SVC
F09,FAM,STD_10000,26.37341889,10000,SVC
F10,FAM,STD_10000,26.49882167,10000,SVC
F11,FAM,STD_10000,26.52443269,10000,SVC
F12,FAM,STD_10000,26.65928006,10000,SVC
G01,FAM,STD_10000,26.73161123,10000,SVC
G02,FAM,STD_10000,26.53587665,10000,SVC
G03,FAM,STD_10000,26.55289883,10000,SVC
G04,FAM,STD_10000,26.56459698,10000,SVC
G05,FAM,STD_10000,26.49148465,10000,SVC
G06,FAM,STD_10000,26.42020428,10000,SVC
G07,FAM,STD_10000,26.46185059,10000,SVC
G08,FAM,STD_10000,26.5346415,10000,SVC
G09,FAM,STD_10000,26.49821376,10000,SVC
G10,FAM,STD_10000,26.52365894,10000,SVC
G11,FAM,STD_10000,26.65257042,10000,SVC
G12,FAM,STD_10000,26.77302404,10000,SVC
H01,FAM,STD_10000,26.86994511,10000,SVC
H02,FAM,STD_10000,26.70629034,10000,SVC
H03,FAM,STD_10000,26.56300004,10000,SVC
H04,FAM,STD_10000,26.62190414,10000,SVC
H05,FAM,STD_10000,26.40857757,10000,SVC
H06,FAM,STD_10000,26.46029494,10000,SVC
H07,FAM,STD_10000,26.46971534,10000,SVC
H08,FAM,STD_10000,26.57179479,10000,SVC
H09,FAM,STD_10000,26.59125252,10000,SVC
H10,FAM,STD_10000,26.72796304,10000,SVC
H11,FAM,STD_10000,26.71376405,10000,SVC
H12,FAM,STD_10000,26.83509397,10000,SVC
A01,HEX,STD_10000,26.64697233,10000,BHC
A02,HEX,STD_10000,26.60117168,10000,BHC
A03,HEX,STD_10000,26.56219397,10000,BHC
A04,HEX,STD_10000,26.57020343,10000,BHC
A05,HEX,STD_10000,26.62694768,10000,BHC
A06,HEX,STD_10000,26.58748278,10000,BHC
A07,HEX,STD_10000,26.57165749,10000,BHC
A08,HEX,STD_10000,26.60065331,10000,BHC
A09,HEX,STD_10000,26.69238495,10000,BHC
A10,HEX,STD_10000,26.66428739,10000,BHC
A11,HEX,STD_10000,26.82688423,10000,BHC
A12,HEX,STD_10000,26.72712743,10000,BHC
B01,HEX,STD_10000,26.70226397,10000,BHC
B02,HEX,STD_10000,26.60577052,10000,BHC
B03,HEX,STD_10000,26.52500261,10000,BHC
B04,HEX,STD_10000,26.50725688,10000,BHC
B05,HEX,STD_10000,26.47211399,10000,BHC
B06,HEX,STD_10000,26.50864395,10000,BHC
B07,HEX,STD_10000,26.48964357,10000,BHC
B08,HEX,STD_10000,26.55943496,10000,BHC
B09,HEX,STD_10000,26.53806154,10000,BHC
B10,HEX,STD_10000,26.59433156,10000,BHC
B11,HEX,STD_10000,26.71274099,10000,BHC
B12,HEX,STD_10000,26.73567407,10000,BHC
C01,HEX,STD_10000,26.61638374,10000,BHC
C02,HEX,STD_10000,26.55651262,10000,BHC
C03,HEX,STD_10000,26.4649613,10000,BHC
C04,HEX,STD_10000,26.51569672,10000,BHC
C05,HEX,STD_10000,26.60369781,10000,BHC
C06,HEX,STD_10000,26.57138041,10000,BHC
C07,HEX,STD_10000,26.55069278,10000,BHC
C08,HEX,STD_10000,26.5756468,10000,BHC
C09,HEX,STD_10000,26.52568696,10000,BHC
C10,HEX,STD_10000,26.58624839,10000,BHC
C11,HEX,STD_10000,26.61557268,10000,BHC
C12,HEX,STD_10000,26.78978842,10000,BHC
D01,HEX,STD_10000,26.49617185,10000,BHC
D02,HEX,STD_10000,26.40462795,10000,BHC
D03,HEX,STD_10000,26.60830002,10000,BHC
D04,HEX,STD_10000,26.51108854,10000,BHC
D05,HEX,STD_10000,26.31256198,10000,BHC
D06,HEX,STD_10000,26.67058259,10000,BHC
D07,HEX,STD_10000,26.57072634,10000,BHC
D08,HEX,STD_10000,26.71328675,10000,BHC
D09,HEX,STD_10000,26.52160542,10000,BHC
D10,HEX,STD_10000,26.67688154,10000,BHC
D11,HEX,STD_10000,26.75674197,10000,BHC
D12,HEX,STD_10000,26.79215488,10000,BHC
E01,HEX,STD_10000,26.71582058,10000,BHC
E02,HEX,STD_10000,26.54053634,10000,BHC
E03,HEX,STD_10000,26.48832948,10000,BHC
E04,HEX,STD_10000,26.4622578,10000,BHC
E05,HEX,STD_10000,26.45112593,10000,BHC
E06,HEX,STD_10000,26.55700054,10000,BHC
E07,HEX,STD_10000,26.50967673,10000,BHC
E08,HEX,STD_10000,26.52089299,10000,BHC
E09,HEX,STD_10000,26.62770623,10000,BHC
E10,HEX,STD_10000,26.59301133,10000,BHC
E11,HEX,STD_10000,26.58794587,10000,BHC
E12,HEX,STD_10000,26.75520333,10000,BHC
F01,HEX,STD_10000,26.64225498,10000,BHC
F02,HEX,STD_10000,26.61976788,10000,BHC
F03,HEX,STD_10000,26.4485911,10000,BHC
F04,HEX,STD_10000,26.4940925,10000,BHC
F05,HEX,STD_10000,26.48353896,10000,BHC
F06,HEX,STD_10000,26.51865961,10000,BHC
F07,HEX,STD_10000,26.55803568,10000,BHC
F08,HEX,STD_10000,26.61288857,10000,BHC
F09,HEX,STD_10000,26.49593822,10000,BHC
F10,HEX,STD_10000,26.60706551,10000,BHC
F11,HEX,STD_10000,26.65129136,10000,BHC
F12,HEX,STD_10000,26.75292844,10000,BHC
G01,HEX,STD_10000,26.7336604,10000,BHC
G02,HEX,STD_10000,26.56068573,10000,BHC
G03,HEX,STD_10000,26.61044844,10000,BHC
G04,HEX,STD_10000,26.61686425,10000,BHC
G05,HEX,STD_10000,26.55956292,10000,BHC
G06,HEX,STD_10000,26.5295573,10000,BHC
G07,HEX,STD_10000,26.56750669,10000,BHC
G08,HEX,STD_10000,26.62871231,10000,BHC
G09,HEX,STD_10000,26.58365878,10000,BHC
G10,HEX,STD_10000,26.62846832,10000,BHC
G11,HEX,STD_10000,26.72117473,10000,BHC
G12,HEX,STD_10000,26.83976383,10000,BHC
H01,HEX,STD_10000,26.8721577,10000,BHC
H02,HEX,STD_10000,26.76570246,10000,BHC
H03,HEX,STD_10000,26.62683669,10000,BHC
H04,HEX,STD_10000,26.69433398,10000,BHC
H05,HEX,STD_10000,26.48308277,10000,BHC
H06,HEX,STD_10000,26.54928047,10000,BHC
H07,HEX,STD_10000,26.56587006,10000,BHC
H08,HEX,STD_10000,26.66140334,10000,BHC
H09,HEX,STD_10000,26.70650367,10000,BHC
